Year,Population,People_over_25_with_No_Schooling,High_School_Diploma,GED,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctoral_Degree,Name,state,No_Schooling_Rate,High_School_Education_Rate,GED_Rate,Associates_Degree_Rate,Bachelors_Degree_Rate,Masters_Degree_Rate,Professional_Degree_Rate,Doctoral_Degree Rate
2012,12699589.0,81124.0,2885353.0,337023.0,649107.0,1439079.0,632138.0,161689.0,108971.0,Pennsylvania,42,0.6387923262713463,22.720050231546864,2.6538102926008076,5.1112441512871,11.331697427373436,4.977625653869586,1.2731829352902682,0.8580671390231606
2013,12731381.0,83093.0,2883622.0,344363.0,661608.0,1468125.0,656458.0,162842.0,112239.0,Pennsylvania,42,0.6526628965074567,22.64971883254456,2.7048361839143764,5.196671123109112,11.531545556605368,5.1562198947623985,1.2790599857156109,0.8815932851275129
2014,12758729.0,85128.0,2872856.0,348332.0,677250.0,1502205.0,680881.0,163726.0,115989.0,Pennsylvania,42,0.6672137953553211,22.51678831018356,2.730146552999127,5.308130613950653,11.773939237991495,5.336589561546452,1.2832469441117529,0.9090952554913582
2015,12779559.0,86400.0,2855340.0,352649.0,698397.0,1535222.0,702244.0,165557.0,119014.0,Pennsylvania,42,0.6760796675378234,22.343024512817696,2.759477068027152,5.464953837608951,12.013106242555006,5.495056597805918,1.2954828879462899,0.9312840920410478
2016,12783977.0,87634.0,2831106.0,352143.0,712180.0,1578040.0,725919.0,168216.0,123775.0,Pennsylvania,42,0.685498730168241,22.14573759010987,2.7545653437893387,5.570879859999748,12.343889542354464,5.6783503286966175,1.3158346577125413,0.9682041824699779
2017,12790505.0,88660.0,2811564.0,350222.0,724522.0,1621733.0,752518.0,171742.0,127226.0,Pennsylvania,42,0.6931704416674713,21.98164966903183,2.7381405190803645,5.664530055693657,12.679194449320024,5.883411171021003,1.3427304082207856,0.9946909836632721
2012,1850481.0,11361.0,443920.0,84954.0,78939.0,142236.0,62806.0,16381.0,9995.0,West Virginia,54,0.6139484815029174,23.98943842168604,4.590914470345818,4.265863848372396,7.686433959602936,3.394036469436865,0.8852292998415007,0.5401298365127769
2013,1853619.0,10965.0,443556.0,84691.0,81983.0,146020.0,64710.0,16721.0,10046.0,West Virginia,54,0.5915455117799289,23.929189331788248,4.568954029927402,4.422861440242035,7.87756275696354,3.491008670066502,0.9020731876399627,0.5419668227397324
2014,1853881.0,10946.0,444839.0,86466.0,82939.0,150406.0,66496.0,16266.0,10298.0,West Virginia,54,0.5904370345237909,23.995013703684325,4.664053410116399,4.473803874142947,8.113034223879525,3.586853740881966,0.8774025948806854,0.5554833346908459
2015,1851420.0,11071.0,442151.0,86404.0,85558.0,152377.0,69161.0,16676.0,10459.0,West Virginia,54,0.5979734474079356,23.881723217854404,4.666904322087911,4.621209666094133,8.230277300666515,3.7355651337891995,0.9007140465156475,0.564917738816692
2016,1846092.0,11212.0,437243.0,87728.0,87889.0,153834.0,72391.0,16701.0,10780.0,West Virginia,54,0.607337012456584,23.684789273774005,4.752092528433036,4.760813653924073,8.332954153964158,3.921310530569441,0.9046678063715134,0.5839362285303225
2017,1836843.0,10439.0,438270.0,86440.0,89742.0,155423.0,74597.0,16296.0,11105.0,West Virginia,54,0.5683120440886891,23.85995972437492,4.705900286524216,4.8856652419395665,8.461419947159339,4.061152749581756,0.8871743529523209,0.6045699060834269
