,State,Offense_Year,Offense_Type,Offense_Count
167,OH,2013,forgery,1185
168,OH,2013,fraud,2495
169,OH,2013,g_all,3
170,OH,2013,g_b,0
171,OH,2013,g_n,1
172,OH,2013,g_t,19
173,OH,2013,ht_c_s_a,0
174,OH,2013,ht_i_s,0
175,OH,2013,larceny,31364
176,OH,2013,liquor,7455
177,OH,2013,manslaughter,14
178,OH,2013,mvt,732
179,OH,2013,murder,150
180,OH,2013,offense_family,1600
181,OH,2013,prostitution,1740
182,OH,2013,prostitution_a_p_p,0
183,OH,2013,prostitution_p,0
184,OH,2013,prostitution_p_p,0
185,OH,2013,rape,400
186,OH,2013,robbery,2291
187,OH,2013,sex_offense,715
188,OH,2013,simple_assault,32398
189,OH,2013,stolen_property,3211
190,OH,2013,suspicion,51
191,OH,2013,vagrancy,36
192,OH,2013,vandalism,3872
193,OH,2013,weapons,2962
195,OH,2013,data_year,2013
196,OH,2014,aggravated_assault,4018
197,OH,2014,all_other_offenses,53799
198,OH,2014,arson,202
199,OH,2014,burglary,4900
200,OH,2014,curfew,481
201,OH,2014,disorderly,16400
202,OH,2014,driving,35401
203,OH,2014,drug_abuse_gt,37458
204,OH,2014,drug_poss_m,18510
205,OH,2014,drug_poss_opium,8777
206,OH,2014,drug_poss_other,3956
207,OH,2014,drug_poss_subtotal,32706
208,OH,2014,drug_poss_synthetic,1463
209,OH,2014,drug_sales_m,1098
210,OH,2014,drug_sales_opium,1817
211,OH,2014,drug_sales_other,639
212,OH,2014,drug_sales_subtotal,3810
213,OH,2014,drug_sales_synthetic,256
214,OH,2014,drunkness,2603
215,OH,2014,embezzlement,52
216,OH,2014,forgery,1140
217,OH,2014,fraud,2560
218,OH,2014,g_all,5
219,OH,2014,g_b,0
220,OH,2014,g_n,0
221,OH,2014,g_t,35
222,OH,2014,ht_c_s_a,0
223,OH,2014,ht_i_s,0
224,OH,2014,larceny,33732
225,OH,2014,liquor,8423
226,OH,2014,manslaughter,5
227,OH,2014,mvt,764
228,OH,2014,murder,218
229,OH,2014,offense_family,1869
230,OH,2014,prostitution,1550
231,OH,2014,prostitution_a_p_p,0
232,OH,2014,prostitution_p,0
233,OH,2014,prostitution_p_p,0
234,OH,2014,rape,496
235,OH,2014,robbery,2162
236,OH,2014,sex_offense,687
237,OH,2014,simple_assault,32759
238,OH,2014,stolen_property,3381
239,OH,2014,suspicion,50
240,OH,2014,vagrancy,25
241,OH,2014,vandalism,3928
242,OH,2014,weapons,3274
244,OH,2014,data_year,2014
245,OH,2015,aggravated_assault,3772
246,OH,2015,all_other_offenses,55704
247,OH,2015,arson,214
248,OH,2015,burglary,4273
249,OH,2015,curfew,610
250,OH,2015,disorderly,15710
251,OH,2015,driving,35213
252,OH,2015,drug_abuse_gt,34940
253,OH,2015,drug_poss_m,16494
254,OH,2015,drug_poss_opium,8818
255,OH,2015,drug_poss_other,4056
256,OH,2015,drug_poss_subtotal,30924
257,OH,2015,drug_poss_synthetic,1457
258,OH,2015,drug_sales_m,912
259,OH,2015,drug_sales_opium,1603
260,OH,2015,drug_sales_other,510
261,OH,2015,drug_sales_subtotal,3279
262,OH,2015,drug_sales_synthetic,232
263,OH,2015,drunkness,1745
264,OH,2015,embezzlement,25
265,OH,2015,forgery,1070
266,OH,2015,fraud,2312
267,OH,2015,g_all,0
268,OH,2015,g_b,0
269,OH,2015,g_n,0
270,OH,2015,g_t,32
271,OH,2015,ht_c_s_a,0
272,OH,2015,ht_i_s,0
273,OH,2015,larceny,32500
274,OH,2015,liquor,6485
275,OH,2015,manslaughter,5
276,OH,2015,mvt,799
277,OH,2015,murder,180
278,OH,2015,offense_family,1845
279,OH,2015,prostitution,1275
280,OH,2015,prostitution_a_p_p,0
281,OH,2015,prostitution_p,0
282,OH,2015,prostitution_p_p,0
283,OH,2015,rape,448
284,OH,2015,robbery,2029
285,OH,2015,sex_offense,666
286,OH,2015,simple_assault,31149
287,OH,2015,stolen_property,3234
288,OH,2015,suspicion,8
289,OH,2015,vagrancy,83
290,OH,2015,vandalism,3551
291,OH,2015,weapons,3334
293,OH,2015,data_year,2015
294,OH,2016,aggravated_assault,4829
295,OH,2016,all_other_offenses,62831
296,OH,2016,arson,276
297,OH,2016,burglary,4118
298,OH,2016,curfew,567
299,OH,2016,disorderly,15637
300,OH,2016,driving,26614
301,OH,2016,drug_abuse_gt,39825
302,OH,2016,drug_poss_m,18527
303,OH,2016,drug_poss_opium,9892
304,OH,2016,drug_poss_other,5238
305,OH,2016,drug_poss_subtotal,35314
306,OH,2016,drug_poss_synthetic,1624
307,OH,2016,drug_sales_m,1050
308,OH,2016,drug_sales_opium,1761
309,OH,2016,drug_sales_other,569
310,OH,2016,drug_sales_subtotal,3622
311,OH,2016,drug_sales_synthetic,234
312,OH,2016,drunkness,2178
313,OH,2016,embezzlement,21
314,OH,2016,forgery,1073
315,OH,2016,fraud,2366
316,OH,2016,g_all,1
317,OH,2016,g_b,0
318,OH,2016,g_n,0
319,OH,2016,g_t,41
320,OH,2016,ht_c_s_a,0
321,OH,2016,ht_i_s,0
322,OH,2016,larceny,31511
323,OH,2016,liquor,6430
324,OH,2016,manslaughter,19
325,OH,2016,mvt,718
326,OH,2016,murder,228
327,OH,2016,offense_family,1741
328,OH,2016,prostitution,1342
329,OH,2016,prostitution_a_p_p,0
330,OH,2016,prostitution_p,0
331,OH,2016,prostitution_p_p,0
332,OH,2016,rape,507
333,OH,2016,robbery,2013
334,OH,2016,sex_offense,611
335,OH,2016,simple_assault,31448
336,OH,2016,stolen_property,3763
337,OH,2016,suspicion,31
338,OH,2016,vagrancy,102
339,OH,2016,vandalism,3790
340,OH,2016,weapons,3907
342,OH,2016,data_year,2016
343,OH,2017,aggravated_assault,6193
344,OH,2017,all_other_offenses,63121
345,OH,2017,arson,294
346,OH,2017,burglary,4570
347,OH,2017,curfew,558
348,OH,2017,disorderly,12854
349,OH,2017,driving,15508
350,OH,2017,drug_abuse_gt,41808
351,OH,2017,drug_poss_m,17590
352,OH,2017,drug_poss_opium,10042
353,OH,2017,drug_poss_other,7673
354,OH,2017,drug_poss_subtotal,36916
355,OH,2017,drug_poss_synthetic,1611
356,OH,2017,drug_sales_m,1081
357,OH,2017,drug_sales_opium,1438
358,OH,2017,drug_sales_other,837
359,OH,2017,drug_sales_subtotal,3528
360,OH,2017,drug_sales_synthetic,172
361,OH,2017,drunkness,4503
362,OH,2017,embezzlement,22
363,OH,2017,forgery,1005
364,OH,2017,fraud,2357
365,OH,2017,g_all,0
366,OH,2017,g_b,0
367,OH,2017,g_n,0
368,OH,2017,g_t,23
369,OH,2017,ht_c_s_a,1
370,OH,2017,ht_i_s,0
371,OH,2017,larceny,31612
372,OH,2017,liquor,5255
373,OH,2017,manslaughter,9
374,OH,2017,mvt,966
375,OH,2017,murder,266
376,OH,2017,offense_family,1718
377,OH,2017,prostitution,1164
378,OH,2017,prostitution_a_p_p,1041
379,OH,2017,prostitution_p,113
380,OH,2017,prostitution_p_p,8
381,OH,2017,rape,481
382,OH,2017,robbery,2239
383,OH,2017,sex_offense,509
384,OH,2017,simple_assault,35950
385,OH,2017,stolen_property,3279
386,OH,2017,suspicion,6
387,OH,2017,vagrancy,145
388,OH,2017,vandalism,4135
389,OH,2017,weapons,4340
391,OH,2017,data_year,2017
392,PA,2010,aggravated_assault,16222
393,PA,2010,all_other_offenses,54527
394,PA,2010,arson,661
395,PA,2010,burglary,9518
396,PA,2010,curfew,19207
397,PA,2010,disorderly,59340
398,PA,2010,driving,52053
399,PA,2010,drug_abuse_gt,56456
400,PA,2010,drug_poss_m,20884
401,PA,2010,drug_poss_opium,9921
402,PA,2010,drug_poss_other,3876
403,PA,2010,drug_poss_subtotal,37064
404,PA,2010,drug_poss_synthetic,2383
405,PA,2010,drug_sales_m,5881
406,PA,2010,drug_sales_opium,11158
407,PA,2010,drug_sales_other,840
408,PA,2010,drug_sales_subtotal,19392
409,PA,2010,drug_sales_synthetic,1513
410,PA,2010,drunkness,25354
411,PA,2010,embezzlement,403
412,PA,2010,forgery,2728
413,PA,2010,fraud,7488
414,PA,2010,g_all,102
415,PA,2010,g_b,11
416,PA,2010,g_n,26
417,PA,2010,g_t,139
418,PA,2010,ht_c_s_a,0
419,PA,2010,ht_i_s,0
420,PA,2010,larceny,46700
421,PA,2010,liquor,22780
422,PA,2010,manslaughter,38
423,PA,2010,mvt,2618
424,PA,2010,murder,557
425,PA,2010,offense_family,1239
426,PA,2010,prostitution,1985
427,PA,2010,prostitution_a_p_p,0
428,PA,2010,prostitution_p,0
429,PA,2010,prostitution_p_p,0
430,PA,2010,rape,988
431,PA,2010,robbery,6931
432,PA,2010,sex_offense,2705
433,PA,2010,simple_assault,48833
434,PA,2010,stolen_property,2823
435,PA,2010,suspicion,0
436,PA,2010,vagrancy,1345
437,PA,2010,vandalism,10538
438,PA,2010,weapons,4321
440,PA,2010,data_year,2010
441,PA,2011,aggravated_assault,16220
442,PA,2011,all_other_offenses,53874
443,PA,2011,arson,575
444,PA,2011,burglary,10290
445,PA,2011,curfew,13854
446,PA,2011,disorderly,52425
447,PA,2011,driving,51678
448,PA,2011,drug_abuse_gt,55260
449,PA,2011,drug_poss_m,20478
450,PA,2011,drug_poss_opium,9723
451,PA,2011,drug_poss_other,4441
452,PA,2011,drug_poss_subtotal,37040
453,PA,2011,drug_poss_synthetic,2398
454,PA,2011,drug_sales_m,5575
455,PA,2011,drug_sales_opium,10098
456,PA,2011,drug_sales_other,1056
457,PA,2011,drug_sales_subtotal,18221
458,PA,2011,drug_sales_synthetic,1491
459,PA,2011,drunkness,25357
460,PA,2011,embezzlement,451
461,PA,2011,forgery,2793
462,PA,2011,fraud,7118
463,PA,2011,g_all,69
464,PA,2011,g_b,26
465,PA,2011,g_n,29
466,PA,2011,g_t,124
467,PA,2011,ht_c_s_a,0
468,PA,2011,ht_i_s,0
469,PA,2011,larceny,49265
470,PA,2011,liquor,21248
471,PA,2011,manslaughter,28
472,PA,2011,mvt,2676
473,PA,2011,murder,451
474,PA,2011,offense_family,1314
475,PA,2011,prostitution,1974
476,PA,2011,prostitution_a_p_p,0
477,PA,2011,prostitution_p,0
478,PA,2011,prostitution_p_p,0
479,PA,2011,rape,988
480,PA,2011,robbery,6625
481,PA,2011,sex_offense,2555
482,PA,2011,simple_assault,47000
483,PA,2011,stolen_property,3082
484,PA,2011,suspicion,0
485,PA,2011,vagrancy,1081
486,PA,2011,vandalism,10015
487,PA,2011,weapons,4392
489,PA,2011,data_year,2011
490,PA,2012,aggravated_assault,16077
491,PA,2012,all_other_offenses,57976
492,PA,2012,arson,585
493,PA,2012,burglary,10276
494,PA,2012,curfew,17001
495,PA,2012,disorderly,50603
496,PA,2012,driving,50776
497,PA,2012,drug_abuse_gt,57300
498,PA,2012,drug_poss_m,20579
499,PA,2012,drug_poss_opium,9903
500,PA,2012,drug_poss_other,4967
501,PA,2012,drug_poss_subtotal,37911
502,PA,2012,drug_poss_synthetic,2466
503,PA,2012,drug_sales_m,5718
504,PA,2012,drug_sales_opium,10747
505,PA,2012,drug_sales_other,1396
506,PA,2012,drug_sales_subtotal,19390
507,PA,2012,drug_sales_synthetic,1524
508,PA,2012,drunkness,25506
509,PA,2012,embezzlement,451
510,PA,2012,forgery,2589
511,PA,2012,fraud,7178
512,PA,2012,g_all,87
513,PA,2012,g_b,16
514,PA,2012,g_n,34
515,PA,2012,g_t,137
516,PA,2012,ht_c_s_a,0
517,PA,2012,ht_i_s,0
518,PA,2012,larceny,51492
519,PA,2012,liquor,20054
520,PA,2012,manslaughter,46
521,PA,2012,mvt,2608
522,PA,2012,murder,557
523,PA,2012,offense_family,1719
524,PA,2012,prostitution,2149
525,PA,2012,prostitution_a_p_p,0
526,PA,2012,prostitution_p,0
527,PA,2012,prostitution_p_p,0
528,PA,2012,rape,963
529,PA,2012,robbery,6521
530,PA,2012,sex_offense,2654
531,PA,2012,simple_assault,46290
532,PA,2012,stolen_property,2818
533,PA,2012,suspicion,0
534,PA,2012,vagrancy,748
535,PA,2012,vandalism,9670
536,PA,2012,weapons,4280
538,PA,2012,data_year,2012
539,PA,2013,aggravated_assault,15680
540,PA,2013,all_other_offenses,58977
541,PA,2013,arson,481
542,PA,2013,burglary,9856
543,PA,2013,curfew,17251
544,PA,2013,disorderly,46970
545,PA,2013,driving,48317
546,PA,2013,drug_abuse_gt,57928
547,PA,2013,drug_poss_m,20633
548,PA,2013,drug_poss_opium,10256
549,PA,2013,drug_poss_other,5351
550,PA,2013,drug_poss_subtotal,38469
551,PA,2013,drug_poss_synthetic,2231
552,PA,2013,drug_sales_m,5427
553,PA,2013,drug_sales_opium,10946
554,PA,2013,drug_sales_other,1501
555,PA,2013,drug_sales_subtotal,19459
556,PA,2013,drug_sales_synthetic,1585
557,PA,2013,drunkness,24422
558,PA,2013,embezzlement,477
559,PA,2013,forgery,2641
560,PA,2013,fraud,7214
561,PA,2013,g_all,77
562,PA,2013,g_b,6
563,PA,2013,g_n,18
564,PA,2013,g_t,101
565,PA,2013,ht_c_s_a,0
566,PA,2013,ht_i_s,0
567,PA,2013,larceny,52044
568,PA,2013,liquor,16130
569,PA,2013,manslaughter,50
570,PA,2013,mvt,2413
571,PA,2013,murder,496
572,PA,2013,offense_family,1928
573,PA,2013,prostitution,2081
574,PA,2013,prostitution_a_p_p,0
575,PA,2013,prostitution_p,0
576,PA,2013,prostitution_p_p,0
577,PA,2013,rape,1189
578,PA,2013,robbery,6131
579,PA,2013,sex_offense,2530
580,PA,2013,simple_assault,45477
581,PA,2013,stolen_property,2675
582,PA,2013,suspicion,0
583,PA,2013,vagrancy,529
584,PA,2013,vandalism,8622
585,PA,2013,weapons,4379
587,PA,2013,data_year,2013
588,PA,2014,aggravated_assault,14342
589,PA,2014,all_other_offenses,61881
590,PA,2014,arson,482
591,PA,2014,burglary,8156
592,PA,2014,curfew,15441
593,PA,2014,disorderly,41715
594,PA,2014,driving,47828
595,PA,2014,drug_abuse_gt,58455
596,PA,2014,drug_poss_m,20346
597,PA,2014,drug_poss_opium,11061
598,PA,2014,drug_poss_other,6152
599,PA,2014,drug_poss_subtotal,40353
600,PA,2014,drug_poss_synthetic,2793
601,PA,2014,drug_sales_m,4567
602,PA,2014,drug_sales_opium,10692
603,PA,2014,drug_sales_other,1501
604,PA,2014,drug_sales_subtotal,18097
605,PA,2014,drug_sales_synthetic,1337
606,PA,2014,drunkness,23672
607,PA,2014,embezzlement,455
608,PA,2014,forgery,2302
609,PA,2014,fraud,7617
610,PA,2014,g_all,69
611,PA,2014,g_b,6
612,PA,2014,g_n,16
613,PA,2014,g_t,91
614,PA,2014,ht_c_s_a,0
615,PA,2014,ht_i_s,0
616,PA,2014,larceny,51895
617,PA,2014,liquor,14398
618,PA,2014,manslaughter,41
619,PA,2014,mvt,2376
620,PA,2014,murder,408
621,PA,2014,offense_family,1841
622,PA,2014,prostitution,2334
623,PA,2014,prostitution_a_p_p,0
624,PA,2014,prostitution_p,0
625,PA,2014,prostitution_p_p,0
626,PA,2014,rape,1106
627,PA,2014,robbery,5658
628,PA,2014,sex_offense,2276
629,PA,2014,simple_assault,43707
630,PA,2014,stolen_property,2516
631,PA,2014,suspicion,0
632,PA,2014,vagrancy,489
633,PA,2014,vandalism,7875
634,PA,2014,weapons,4806
636,PA,2014,data_year,2014
637,PA,2015,aggravated_assault,13249
638,PA,2015,all_other_offenses,55580
639,PA,2015,arson,471
640,PA,2015,burglary,7263
641,PA,2015,curfew,12153
642,PA,2015,disorderly,39503
643,PA,2015,driving,46916
644,PA,2015,drug_abuse_gt,56646
645,PA,2015,drug_poss_m,18483
646,PA,2015,drug_poss_opium,11581
647,PA,2015,drug_poss_other,6251
648,PA,2015,drug_poss_subtotal,39191
649,PA,2015,drug_poss_synthetic,2876
650,PA,2015,drug_sales_m,4375
651,PA,2015,drug_sales_opium,10074
652,PA,2015,drug_sales_other,1533
653,PA,2015,drug_sales_subtotal,17455
654,PA,2015,drug_sales_synthetic,1471
655,PA,2015,drunkness,22157
656,PA,2015,embezzlement,442
657,PA,2015,forgery,2478
658,PA,2015,fraud,8366
659,PA,2015,g_all,46
660,PA,2015,g_b,2
661,PA,2015,g_n,16
662,PA,2015,g_t,64
663,PA,2015,ht_c_s_a,0
664,PA,2015,ht_i_s,0
665,PA,2015,larceny,48189
666,PA,2015,liquor,11477
667,PA,2015,manslaughter,40
668,PA,2015,mvt,2338
669,PA,2015,murder,501
670,PA,2015,offense_family,1914
671,PA,2015,prostitution,1818
672,PA,2015,prostitution_a_p_p,0
673,PA,2015,prostitution_p,0
674,PA,2015,prostitution_p_p,0
675,PA,2015,rape,1106
676,PA,2015,robbery,5235
677,PA,2015,sex_offense,2418
678,PA,2015,simple_assault,43796
679,PA,2015,stolen_property,2484
680,PA,2015,suspicion,0
681,PA,2015,vagrancy,391
682,PA,2015,vandalism,7607
683,PA,2015,weapons,4529
685,PA,2015,data_year,2015
686,PA,2016,aggravated_assault,13266
687,PA,2016,all_other_offenses,48041
688,PA,2016,arson,437
689,PA,2016,burglary,6651
690,PA,2016,curfew,7368
691,PA,2016,disorderly,37125
692,PA,2016,driving,46791
